granularity,quantile,feature,importance
channel,0.1,channel,7
channel,0.1,spend,593
channel,0.1,clicks,414
channel,0.1,impressions,254
channel,0.1,daily_budget,111
channel,0.1,month,50
channel,0.1,day_of_week,114
channel,0.1,week_of_year,135
channel,0.1,quarter,1
channel,0.1,is_weekend,7
channel,0.1,roas,1120
channel,0.1,cpc,335
channel,0.1,cvr,259
channel,0.1,budget_utilization,203
channel,0.1,days_since_campaign_start,210
channel,0.1,revenue_roll_7d_mean,540
channel,0.1,revenue_roll_7d_std,188
channel,0.1,spend_roll_7d_mean,143
channel,0.1,spend_roll_7d_std,176
channel,0.1,roas_roll_7d_mean,351
channel,0.1,clicks_roll_7d_mean,165
channel,0.1,revenue_roll_14d_mean,123
channel,0.1,revenue_roll_14d_std,117
channel,0.1,spend_roll_14d_mean,95
channel,0.1,spend_roll_14d_std,105
channel,0.1,roas_roll_14d_mean,190
channel,0.1,clicks_roll_14d_mean,132
channel,0.1,revenue_roll_30d_mean,123
channel,0.1,revenue_roll_30d_std,124
channel,0.1,spend_roll_30d_mean,134
channel,0.1,spend_roll_30d_std,104
channel,0.1,roas_roll_30d_mean,177
channel,0.1,clicks_roll_30d_mean,161
channel,0.1,revenue_momentum,239
channel,0.1,spend_momentum,195
channel,0.5,channel,13
channel,0.5,spend,659
channel,0.5,clicks,471
channel,0.5,impressions,251
channel,0.5,daily_budget,115
channel,0.5,month,28
channel,0.5,day_of_week,165
channel,0.5,week_of_year,149
channel,0.5,quarter,2
channel,0.5,is_weekend,6
channel,0.5,roas,1011
channel,0.5,cpc,324
channel,0.5,cvr,331
channel,0.5,budget_utilization,318
channel,0.5,days_since_campaign_start,273
channel,0.5,revenue_roll_7d_mean,268
channel,0.5,revenue_roll_7d_std,286
channel,0.5,spend_roll_7d_mean,137
channel,0.5,spend_roll_7d_std,198
channel,0.5,roas_roll_7d_mean,373
channel,0.5,clicks_roll_7d_mean,145
channel,0.5,revenue_roll_14d_mean,165
channel,0.5,revenue_roll_14d_std,162
channel,0.5,spend_roll_14d_mean,130
channel,0.5,spend_roll_14d_std,193
channel,0.5,roas_roll_14d_mean,168
channel,0.5,clicks_roll_14d_mean,125
channel,0.5,revenue_roll_30d_mean,117
channel,0.5,revenue_roll_30d_std,157
channel,0.5,spend_roll_30d_mean,160
channel,0.5,spend_roll_30d_std,124
channel,0.5,roas_roll_30d_mean,192
channel,0.5,clicks_roll_30d_mean,154
channel,0.5,revenue_momentum,287
channel,0.5,spend_momentum,271
channel,0.9,channel,7
channel,0.9,spend,575
channel,0.9,clicks,289
channel,0.9,impressions,207
channel,0.9,daily_budget,90
channel,0.9,month,27
channel,0.9,day_of_week,91
channel,0.9,week_of_year,126
channel,0.9,quarter,1
channel,0.9,is_weekend,2
channel,0.9,roas,851
channel,0.9,cpc,349
channel,0.9,cvr,297
channel,0.9,budget_utilization,206
channel,0.9,days_since_campaign_start,243
channel,0.9,revenue_roll_7d_mean,161
channel,0.9,revenue_roll_7d_std,183
channel,0.9,spend_roll_7d_mean,98
channel,0.9,spend_roll_7d_std,189
channel,0.9,roas_roll_7d_mean,217
channel,0.9,clicks_roll_7d_mean,157
channel,0.9,revenue_roll_14d_mean,130
channel,0.9,revenue_roll_14d_std,145
